ID INDEC,DNE_ID,HASC_ID,IGN_ID,SIDIF_JUR_ID,SIDIF_SJUR_ID,TIPO,AKA,CABECERA,SUPERFICIE,LAT,LONG,WIKIPEDIA_URL,Jurisdiccion,Jurisdiccion Corregida,Provincia,Poblacion_Densidad_2001,Poblacion_Densidad_2010,Poblacion_Total_2001,Poblacion_Total_2010,Poblacion_Varones_2001,Poblacion_Varones_2010,Poblacion_Mujeres_2001,Poblacion_Mujeres_2010,Provincia Corregida,Poblacion_Mayor10_2001,Poblacion_Mayor10_2010,Poblacion_Analfabetos_2001,Poblacion_Analfabetos_2010,Poblacion_Alfabetos_2001,Poblacion_Alfabetos_2010,Poblacion_0a14_2001,Poblacion_0a14_2010,Poblacion_15a64_2001,Poblacion_15a64_2010,Poblacion_65ymas_2001,Poblacion_65ymas_2010,Poblacion_Nacida_Extranjero_2001,Poblacion_Nacida_Extranjero_2010,Poblacion_Nacida_Argentina_2001,Poblacion_Nacida_Argentina_2010,Hogares_Total_2001,Hogares_Total_2010,Hogares_Con_Bano_2001,Hogares_Con_Bano_2010,Hogares_Sin_Bano_2001,Hogares_Sin_Bano_2010,Hogares_Con_Gas_Corriente_2001,Hogares_Con_Gas_Corriente_2010,Hogares_Sin_Gas_Corriente_2001,Hogares_Sin_Gas_Corriente_2010,Hogares_Con_Agua_Corriente_2001,Hogares_Con_Agua_Corriente_2010,Hogares_Sin_Agua_Corriente_2001,Hogares_Sin_Agua_Corriente_2010,Hogares_Con_Heladera_2001,Hogares_Con_Heladera_2010,Hogares_Sin_Heladera_2001,Hogares_Sin_Heladera_2010,Hogares_Con_Telefono_Linea_2001,Hogares_Con_Telefono_Linea_2010,Hogares_Sin_Telefono_Linea_2001,Hogares_Sin_Telefono_Linea_2010,Hogares_Con_Celular_2001,Hogares_Con_Celular_2010,Hogares_Sin_Celular_2001,Hogares_Sin_Celular_2010,Hogares_Con_Computadora_2001,Hogares_Con_Computadora_2010,Hogares_Sin_Computadora_2001,Hogares_Sin_Computadora_2010,Viviendas_Total_2001,Viviendas_Total_2010,Viviendas_Casa_2001,Viviendas_Casa_2010,Viviendas_Rancho_2001,Viviendas_Rancho_2010,Viviendas_Casilla_2001,Viviendas_Casilla_2010,Viviendas_Departamento_2001,Viviendas_Departamento_2010,Viviendas_Pieza_Inquilinato_2001,Viviendas_Pieza_Inquilinato_2010,Viviendas_Pieza_Hotel_Pension_2001,Viviendas_Pieza_Hotel_Pension_2010,Viviendas_Local_No_Construido_Para_habitacion_2001,Viviendas_Local_No_Construido_Para_habitacion_2010,Viviendas_movil_2001,Viviendas_movil_2010
22036,D06021,AR.CC.DC,484,22,36,DEPARTAMENTO,Doce de Octubre,GENERAL PINEDO,268685133282000000000,-27336337353169500,-6147378071034820,http://es.wikipedia.org/wiki/departamento_primerodos_de_octubre,12 de Octubre,12 De Octubre,Chaco,7.82,8.60,20149,22281,10460,11256,9689,11025,Chaco,14984,17894,1737,1358,13247,16536,7596,7114,11296,13701,1257,1466,32,28,20117,22253,4871,6021,4447,5391,424,630,-,0,4871,6021,2166,1395,2705,4626,3216,4921,1650,1100,749,937,4117,5084,602,5067,4264,954,273,1313,4593,4708,4726,5769,3862,5076,693,402,72,178,0,24,26,44,0,3,42,18,31,24
22126,D06002,AR.CC.PM,482,22,126,DEPARTAMENTO,Primero de Mayo,MARGARITA BELEN,139781114799000000000,-27169161254721900,-5895954882334680,http://es.wikipedia.org/wiki/departamento_primero_de_mayo,1 de Mayo,1º De Mayo,Chaco,4.90,5.50,9131,10322,4669,5151,4462,5171,Chaco,6879,8456,475,368,6404,8088,3301,3043,5199,6544,631,735,66,78,9065,10244,2291,2954,2137,2761,154,193,-,0,2291,2954,1826,2402,465,552,1700,2536,591,418,394,670,1897,2284,379,2596,1912,358,112,661,2179,2293,2155,2849,1923,2685,182,109,31,39,1,1,8,6,1,-,8,7,1,2
22039,D06022,AR.CC.DA,475,22,39,DEPARTAMENTO,Dos de Abril,HERMOSO CAMPO,141489846589000000000,-276219112868488,-6132952018773050,http://es.wikipedia.org/wiki/departamento_dos_de_abril,2 de Abril,2 De Abril,Chaco,4.66,4.70,7435,7432,3874,3738,3561,3694,Chaco,5635,6115,671,474,4964,5641,2650,2173,4313,4710,472,549,20,18,7415,7414,1854,2121,1665,1909,189,212,-,0,1854,2121,160,31,1694,2090,1185,1802,667,319,252,254,1600,1867,254,1853,1598,268,106,460,1746,1661,1783,2018,1547,1896,198,59,11,6,0,8,16,38,0,-,6,6,5,5
6854,D02121,AR.BA.VM,108,6,854,PARTIDO,Veinticinco de Mayo,25 DE MAYO,474923044839000000000,-3552651132257200,-6023015765659290,http://es.wikipedia.org/wiki/partido_de_veinticinco_de_mayo,25 de Mayo,25 De Mayo,Buenos Aires,7.27,7.50,34877,35842,16997,17340,17880,18502,Buenos Aires,29289,30256,836,558,28453,29698,8675,8433,20728,21723,5474,5686,225,266,34652,35576,11063,12416,10971,12284,92,132,5263,5493,5759,6923,9571,10405,1451,2011,10249,11994,812,422,4515,4914,6546,7502,3607,10845,7454,1571,1394,4842,9667,7574,10877,12029,10254,11325,179,150,58,48,341,452,15,17,10,2,19,18,1,17
22168,D06015,AR.CC.VM,469,22,168,DEPARTAMENTO,Veinticinco de Mayo,MACHAGAI,222913425345000000000,-2681902980091550,-6001876938522030,http://es.wikipedia.org/wiki/departamento_veinticinco_de_mayo_(chaco),25 de Mayo,25 De Mayo,Chaco,11.90,12.40,28070,29215,14393,14691,13677,14524,Chaco,20530,22639,2124,1547,18406,21092,11032,10117,15452,17176,1586,1922,87,64,27983,29151,6483,7532,5702,6741,781,791,-,0,6483,7532,4605,5719,1878,1813,3632,5287,2850,2245,784,924,5698,6608,629,5862,5853,1670,267,1324,6215,6208,6273,6758,4847,5940,1036,523,355,216,0,19,19,33,3,2,11,20,2,5
54119,D14011,AR.MN.VM,5,54,119,DEPARTAMENTO,Veinticinco de Mayo,ALBA POSSE,162009903574000000000,-2737647497841860,-5463508603505520,http://es.wikipedia.org/wiki/departamento_veinticinco_de_mayo_(misiones),25 de Mayo,25 De Mayo,Misiones,16.59,16.90,27187,27754,14096,14237,13091,13517,Misiones,19611,21668,1876,1224,17735,20444,10973,9662,15147,16622,1067,1470,2535,2017,24652,25737,6434,7529,5904,6891,530,638,-,0,6434,7529,2242,2420,4192,5109,3966,5911,2466,1618,399,409,6033,7120,423,5803,6009,1726,132,919,6300,6610,6161,7347,5710,6926,331,201,91,184,1,11,9,7,0,-,16,16,3,2
62091,D16006,AR.RN.VM,411,62,91,DEPARTAMENTO,Veinticinco de Mayo,MAQUINCHAO,2816048151690000000000,-4113294696834990,-6890636029950620,http://es.wikipedia.org/wiki/departamento_veinticinco_de_mayo_(rio_negro),25 de Mayo,25 De Mayo,Rio Negro,0.50,0.60,13153,15743,6777,8060,6376,7683,Río Negro,10307,12834,1608,1257,8699,11577,4406,4461,7687,9834,1060,1448,99,119,13054,15624,3713,4673,3548,4466,165,207,1414,2409,2299,2264,3012,4053,701,620,2027,3492,1681,1181,785,1427,2923,3246,565,3497,3143,1176,311,1430,3397,3243,3622,4511,3355,4260,211,130,15,11,11,71,20,23,0,2,8,12,2,2
70126,D18014,AR.SJ.VM,282,70,126,DEPARTAMENTO,Veinticinco de Mayo,VILLA SANTA ROSA,40460663672000000000,-31978890552768600,-6788353903453130,http://es.wikipedia.org/wiki/departamento_veinticinco_de_mayo_(san_juan),25 de Mayo,25 De Mayo,San Juan,3.40,3.80,15193,17119,7820,8722,7373,8397,San Juan,11087,12918,943,713,10144,12205,5775,6228,8599,9784,819,1107,42,55,15151,17064,3250,3973,2950,3614,300,359,-,0,3240,3973,2850,2948,390,1025,2473,3383,777,590,511,457,2739,3516,356,3102,2894,871,118,636,3132,3337,3128,3704,2339,2848,732,802,32,28,1,4,9,6,0,-,14,13,1,3
6588,D02083,AR.BA.NJ,109,6,588,PARTIDO,Nueve de Julio,9 DE JULIO,428576088078000000000,-35481190578319500,-6097511572959680,http://es.wikipedia.org/wiki/partido_de_nueve_de_julio,9 de Julio,9 De Julio,Buenos Aires,10.87,11.30,45998,47722,22247,23140,23751,24582,Buenos Aires,38392,40173,710,476,37682,39697,11482,11482,27691,28826,6825,7414,317,322,45681,47400,14657,16308,14547,16195,110,113,10022,9390,4622,6918,13515,13919,1129,2389,13996,15957,659,351,8497,8802,6158,7506,4096,14159,10559,2149,2323,7773,12332,8535,14429,15833,13515,14872,181,103,39,45,617,769,22,13,3,1,49,25,3,5
22105,D06019,AR.CC.NJ,474,22,105,DEPARTAMENTO,Nueve de Julio,LAS BRENAS,230838879332000000000,-2694552448490690,-6126528976619270,http://es.wikipedia.org/wiki/departamento_nueve_de_julio_(chaco),9 de Julio,9 De Julio,Chaco,12.85,13.60,26955,28555,13597,14150,13358,14405,Chaco,20334,23181,1925,1481,18409,21700,9916,8490,15305,17993,1734,2072,132,104,26823,28451,6544,7798,5982,6835,562,963,-,0,6544,7798,2387,1078,4157,6720,4379,6227,2161,1571,1224,1727,5316,6071,944,6465,5596,1333,425,1792,6115,6006,6304,7416,5536,6763,687,454,19,70,6,45,30,57,4,-,18,15,4,12
